Regione;2025;2024;2023;2022;2021
Abruzzo;1326;1302;1008;832;610
Basilicata;373;364;287;259;188
Calabria;1077;1035;774;652;493
Campania;4473;4130;3396;1184;776
Emilia-Romagna;5282;5086;4050;3460;2392
Friuli-Venezia Giulia;2130;2008;1675;1292;656
Lazio;7124;6917;4558;3584;2667
Liguria;2056;1964;1367;1078;725
Lombardia;13763;12926;8094;5671;4542
Marche;1535;1522;1232;1046;674
Molise;333;310;195;175;128
Piemonte;6561;6151;4713;3848;2650
Puglia;1996;1922;1570;1332;966
Sardegna;2202;2139;1581;1275;806
Sicilia;3514;3314;2051;1618;1089
Toscana;3745;3794;3069;2726;2147
Trentino-Alto Adige;2093;1983;1671;1351;1101
Umbria;981;864;824;712;577
Valle d'Aosta;802;780;549;537;415
Veneto;6176;5880;4564;3840;2650
