STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,mot_nrg,Motor energy,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),New passenger cars by type of motor energy,A,Annual,NR,Number,DIE,Diesel,AL,Albania,2019,,33064,,,,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),New passenger cars by type of motor energy,A,Annual,NR,Number,DIE,Diesel,AL,Albania,2020,,32953,,,,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),New passenger cars by type of motor energy,A,Annual,NR,Number,DIE,Diesel,AL,Albania,2021,,42914,,,,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),New passenger cars by type of motor energy,A,Annual,NR,Number,DIE,Diesel,AL,Albania,2022,,36523,,,,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),New passenger cars by type of motor energy,A,Annual,NR,Number,DIE,Diesel,AL,Albania,2023,,47440,,,,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),New passenger cars by type of motor energy,A,Annual,NR,Number,DIE,Diesel,AL,Albania,2024,,56773,,,,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),New passenger cars by type of motor energy,A,Annual,NR,Number,DIE,Diesel,AT,Austria,2015,,180510,,,,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),New passenger cars by type of motor energy,A,Annual,NR,Number,DIE,Diesel,AT,Austria,2016,,189139,,,,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),New passenger cars by type of motor energy,A,Annual,NR,Number,DIE,Diesel,AT,Austria,2017,,175590,,,,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),New passenger cars by type of motor energy,A,Annual,NR,Number,DIE,Diesel,AT,Austria,2018,,141159,,,,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),New passenger cars by type of motor energy,A,Annual,NR,Number,DIE,Diesel,AT,Austria,2019,,130468,,,,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),New passenger cars by type of motor energy,A,Annual,NR,Number,DIE,Diesel,AT,Austria,2020,,99196,,,,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),New passenger cars by type of motor energy,A,Annual,NR,Number,DIE,Diesel,AT,Austria,2021,,71808,,,,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),New passenger cars by type of motor energy,A,Annual,NR,Number,DIE,Diesel,AT,Austria,2022,,61537,,,,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),New passenger cars by type of motor energy,A,Annual,NR,Number,DIE,Diesel,AT,Austria,2023,,61187,,,,,
